bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
#Games: 1276 #Frames: 1276000  Train_Max: 7997.91  Test_Score: 8009.88  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8225.74  PG Loss: -757.7352

#Games: 1287 #Frames: 1287000  Train_Max: 8167.27  Test_Score: 8005.03  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8020.48  PG Loss: -762.0088

#Games: 1298 #Frames: 1298000  Train_Max: 7963.55  Test_Score: 7876.24  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8383.02  PG Loss: -766.3934

#Games: 1309 #Frames: 1309000  Train_Max: 7974.38  Test_Score: 7865.00  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8220.71  PG Loss: -770.7838

Sync from RL --> Nevo
#Games: 1320 #Frames: 1320000  Train_Max: 7882.53  Test_Score: 7817.44  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8103.03  PG Loss: -775.0345

#Games: 1331 #Frames: 1331000  Train_Max: 8391.94  Test_Score: 7822.57  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8228.71  PG Loss: -779.7676

#Games: 1342 #Frames: 1342000  Train_Max: 7696.46  Test_Score: 7863.48  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8404.50  PG Loss: -783.3795

#Games: 1353 #Frames: 1353000  Train_Max: 7781.69  Test_Score: 7736.38  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8483.56  PG Loss: -787.0611

#Games: 1364 #Frames: 1364000  Train_Max: 7956.24  Test_Score: 7926.01  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8356.04  PG Loss: -791.0650

#Games: 1375 #Frames: 1375000  Train_Max: 8019.22  Test_Score: 8042.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8447.10  PG Loss: -794.7251

#Games: 1386 #Frames: 1386000  Train_Max: 8034.88  Test_Score: 8037.68  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8220.80  PG Loss: -798.3229

#Games: 1397 #Frames: 1397000  Train_Max: 8017.72  Test_Score: 7952.90  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8398.55  PG Loss: -801.1566

#Games: 1408 #Frames: 1408000  Train_Max: 7875.58  Test_Score: 7954.23  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8336.51  PG Loss: -804.3264

Progress Saved
#Games: 1419 #Frames: 1419000  Train_Max: 8027.69  Test_Score: 7898.81  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8568.38  PG Loss: -807.4542

Sync from RL --> Nevo
#Games: 1430 #Frames: 1430000  Train_Max: 7889.98  Test_Score: 7865.85  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8470.76  PG Loss: -810.7188

#Games: 1441 #Frames: 1441000  Train_Max: 8331.58  Test_Score: 8526.67  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8592.63  PG Loss: -814.0004

